,time
1834,7.1641
1835,7.168
1836,7.1719
1837,7.1758
1838,7.1797
1839,7.1836
1840,7.1875
1841,7.1914
1842,7.1953
1843,7.1992
1844,7.2031
1845,7.207
1846,7.2109
1847,7.2148
1848,7.2188
1849,7.2227
1850,7.2266
1851,7.2305
1852,7.2344
1853,7.2383
1854,7.2422
1855,7.2461
1856,7.25
1857,7.2539
1858,7.2578
1859,7.2617
1860,7.2656
1861,7.2695
1862,7.2734
1863,7.2773
1864,7.2812
1865,7.2852
1866,7.2891
1867,7.293
1868,7.2969
1869,7.3008
1870,7.3047
1871,7.3086
1872,7.3125
1873,7.3164
1874,7.3203
1875,7.3242
1876,7.3281
1877,7.332
1878,7.3359
1879,7.3398
1880,7.3438
1881,7.3477
1882,7.3516
1883,7.3555
1884,7.3594
1885,7.3633
1886,7.3672
1887,7.3711
1888,7.375
1889,7.3789
1890,7.3828
1891,7.3867
